handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
0.019,149.763,2,20,17
0.019,0.058,2,3,17
0.019,0.042,2,3,17
0.019,0.04,2,3,17
0.019,0.045,2,3,17
0.019,149.756,2,20,17
0.019,0.032,2,3,17
0.039,0.031,4,5,18
0.039,0.041,4,5,18
0.039,0.044,4,5,18
0.039,0.259,4,5,18
0.039,0.032,4,5,18
0.039,0.036,4,5,18
0.039,0.036,4,5,18
0.039,0.052,4,5,18
0.039,0.052,4,5,18
0.039,0.052,4,5,18
0.09,0.134,4,5,19
0.09,0.178,4,5,19
0.09,0.15,4,5,19
0.09,0.119,4,5,19
0.09,0.128,4,5,19
0.09,0.224,4,5,19
0.09,0.211,4,5,19
0.09,0.133,4,5,19
0.09,0.082,4,5,19
0.09,0.073,4,5,19
0.09,0.062,4,5,19
0.09,0.055,4,5,19
0.09,0.061,4,5,19
0.09,0.059,4,5,19
0.09,0.227,4,5,19
0.09,0.289,4,5,19
0.064,0.084,6,6,0
0.064,0.179,6,6,0
0.064,0.128,6,6,0
0.064,0.155,6,6,0
0.064,0.091,6,6,0
0.064,0.105,6,6,0
0.064,0.105,6,6,0
0.064,0.099,6,6,0
0.064,0.211,6,6,0
0.064,0.44,6,6,0
0.064,0.088,6,6,0
0.064,0.132,6,6,0
0.064,0.106,6,6,0
0.064,0.081,6,6,0
0.064,0.099,6,6,0
0.064,0.099,6,6,0
0.018,0.024,1,1,1
0.018,0.024,1,1,1
0.018,0.028,1,1,1
0.018,0.022,1,1,1
0.018,149.76,1,20,1
0.018,0.068,1,1,1
0.018,149.547,1,4,1
0.016,149.557,1,20,2
0.016,0.033,1,1,2
0.016,0.028,1,1,2
0.016,0.036,1,1,2
0.016,0.027,1,1,2
0.016,0.032,1,1,2
0.016,0.046,1,1,2
0.016,0.035,1,1,2
0.016,0.033,1,1,2
0.016,0.029,1,1,2
0.016,0.033,1,1,2
0.016,0.409,1,1,2
0.016,0.05,1,1,2
0.016,0.039,1,1,2
0.016,0.037,1,1,2
0.016,0.048,1,1,2
0.031,0.055,2,4,3
0.031,0.06,2,4,3
0.031,0.083,2,4,3
0.031,0.054,2,4,3
0.031,0.067,2,4,3
0.031,0.297,2,4,3
0.031,0.28,2,4,3
0.031,149.742,2,20,3
0.031,0.104,2,4,3
0.031,0.121,2,5,3
0.031,0.055,2,4,3
0.031,0.094,2,4,3
0.031,0.09,2,4,3
0.031,149.767,2,20,3
0.031,149.641,2,20,3
0.023,0.06,6,7,4
0.023,0.251,6,7,4
0.023,0.086,6,7,4
0.023,0.357,6,7,4
0.023,0.527,6,7,4
0.023,0.361,6,7,4
0.023,0.079,6,7,4
0.023,0.091,6,7,4
0.023,38.766,6,7,4
0.023,0.068,6,7,4
0.023,0.054,6,7,4
0.023,0.246,6,7,4
0.023,0.061,6,7,4
0.023,0.058,6,7,4
0.023,10.927,6,13,4
0.017,0.079,1,1,5
0.017,149.672,1,20,5
0.017,0.051,1,1,5
0.017,0.046,1,1,5
0.017,0.08,1,1,5
0.017,47.012,1,1,5
0.017,0.034,1,1,5
0.017,0.038,1,1,5
0.017,0.04,1,1,5
0.017,149.661,1,20,5
