handcrafted,tot,grouplabels
0.192,0.223,11
0.192,0.613,11
0.192,0.203,11
0.192,0.227,11
0.192,0.358,11
0.192,0.308,11
0.192,0.7,11
0.192,0.188,11
0.192,0.553,11
0.192,0.201,11
0.192,0.94,11
0.192,0.28099999999999997,11
0.192,0.195,11
0.192,0.737,11
0.192,0.22099999999999997,11
0.446,0.686,12
0.446,0.838,12
0.446,0.735,12
0.446,0.723,12
0.446,0.6880000000000001,12
0.446,0.662,12
0.446,1.518,12
0.446,149.833,12
0.446,149.833,12
0.446,0.44799999999999995,12
0.446,1.191,12
0.446,0.5790000000000001,12
0.446,0.551,12
0.446,1.665,12
0.446,33.783,12
0.163,0.135,13
0.163,0.17500000000000002,13
0.163,0.156,13
0.163,17.314,13
0.163,0.7530000000000001,13
0.163,0.378,13
0.163,0.20500000000000002,13
0.163,0.9390000000000001,13
0.163,0.23299999999999998,13
0.163,149.695,13
12.372,149.78300000000002,14
12.372,14.202,14
12.372,14.395,14
12.372,13.962,14
12.372,149.806,14
12.372,6.289999999999999,14
12.372,14.399000000000001,14
12.372,14.181000000000001,14
12.372,5.445,14
12.372,5.439000000000001,14
12.372,9.477,14
12.372,7.644,14
12.372,10.198999999999998,14
12.372,5.4319999999999995,14
12.372,12.287,14
